DatabaseClass text,ChildClass text,ChildCapacity numeric,LoadTime_s numeric,CycleTime_s numeric
"Su-17M W2","FAB-250","2","240","0.2"
"Su-17M W2","FAB-500","2","240","0.2"
"Su-17M W2","Kh-23","2","360","0.2"
"Su-17M W2","PTB-600","2","300","0.2"
"Su-17M W2","PTB-800","2","300","0.2"
"Su-17M W2","S-25C 266mm","2","240","0.2"
"Su-17M W2","S-25OF 266mm","2","240","0.2"
"Su-17M W2","S-3K 160mm","7","240","0.15"
"Su-17M W2","S-5K Rocket","64","240","0.1"
"Su-17M W2","S-5M Rocket","64","240","0.1"
"Su-17M W2","S-8B 80mm","40","240","0.1"
"Su-17M W2","S-8K 80mm","40","240","0.1"
"Su-17M2 Fuselage","FAB-100","12","640","0.2"
"Su-17M2 Fuselage","FAB-250","4","360","0.2"
"Su-17M2 Fuselage","FAB-500","4","360","0.2"
"Su-17M2 Fuselage","S-24B 240mm","2","240","0.2"
"Su-17M2 Fuselage","S-5K Rocket","64","240","0.1"
"Su-17M2 Fuselage","S-5M Rocket","64","240","0.1"
"Su-17M2 Fuselage","S-8B 80mm","40","240","0.1"
"Su-17M2 Fuselage","S-8K 80mm","40","240","0.1"
"Su-17M2 W1","FAB-100","4","360","0.2"
"Su-17M2 W1","FAB-250","4","360","0.2"
"Su-17M2 W1","FAB-500","2","240","0.2"
"Su-17M2 W1","Kh-23","2","360","0.2"
"Su-17M2 W1","PTB-600","2","300","0.2"
"Su-17M2 W1","PTB-800","2","300","0.2"
"Su-17M2 W1","R-60","2","360","0.2"
"Su-17M2 W1","R-60M","2","360","0.2"
"Su-17M2 W1","R-60MK","2","360","0.2"
"Su-17M2 W1","S-24B 240mm","2","240","0.2"
"Su-17M2 W1","S-25C 266mm","2","240","0.2"
"Su-17M2 W1","S-25OF 266mm","2","240","0.2"
"Su-17M2 W1","S-3K 160mm","7","240","0.15"
"Su-17M2 W1","S-5K Rocket","64","240","0.1"
"Su-17M2 W1","S-5M Rocket","64","240","0.1"
"Su-17M2 W1","S-8B 80mm","40","240","0.1"
"Su-17M2 W1","S-8K 80mm","40","240","0.1"
"Su-17M2 W1","TN-1000","2","720","0.2"
"Su-17M2 W2","FAB-100","4","360","0.2"
"Su-17M2 W2","FAB-250","2","240","0.2"
"Su-17M2 W2","FAB-500","2","240","0.2"
"Su-17M2 W2","Kh-23","2","360","0.2"
"Su-17M2 W2","Kh-25ML","2","360","0.2"
"Su-17M2 W2","Kh-25MP","2","360","0.2"
"Su-17M2 W2","Kh-29L","2","360","0.2"
"Su-17M2 W2","PTB 1150","2","300","0.2"
"Su-17M2 W2","PTB-600","2","300","0.2"
"Su-17M2 W2","PTB-800","2","300","0.2"
"Su-17M2 W2","S-24B 240mm","2","240","0.2"
"Su-17M2 W2","S-25C 266mm","2","240","0.2"
"Su-17M2 W2","S-25OF 266mm","2","240","0.2"
"Su-17M2 W2","S-3K 160mm","7","240","0.15"
"Su-17M2 W2","S-5K Rocket","64","240","0.1"
"Su-17M2 W2","S-5M Rocket","64","240","0.1"
"Su-17M2 W2","S-8B 80mm","40","240","0.1"
"Su-17M2 W2","S-8K 80mm","40","240","0.1"
"Su-17M3 W1","FAB-100","4","360","0.2"
"Su-17M3 W1","FAB-250","4","360","0.2"
"Su-17M3 W1","FAB-500","2","240","0.2"
"Su-17M3 W1","Kh-23","2","360","0.2"
"Su-17M3 W1","PTB-600","2","300","0.2"
"Su-17M3 W1","PTB-800","2","300","0.2"
"Su-17M3 W1","R-60","2","360","0.2"
"Su-17M3 W1","R-60M","2","360","0.2"
"Su-17M3 W1","R-60MK","2","360","0.2"
"Su-17M3 W1","S-24B 240mm","2","240","0.2"
"Su-17M3 W1","S-25C 266mm","2","240","0.2"
"Su-17M3 W1","S-25OF 266mm","2","240","0.2"
"Su-17M3 W1","S-3K 160mm","7","240","0.15"
"Su-17M3 W1","S-5K Rocket","64","240","0.1"
"Su-17M3 W1","S-5M Rocket","64","240","0.1"
"Su-17M3 W1","S-8B 80mm","40","240","0.1"
"Su-17M3 W1","S-8K 80mm","40","240","0.1"
"Su-17M3 W1","TN-1000","2","720","0.2"
"Su-17M3 W2","R-60","2","360","0.2"
"Su-17M3 W2","R-60M","2","360","0.2"
"Su-17M3 W2","R-60MK","2","360","0.2"
"Su-17M3 W3","FAB-100","4","360","0.2"
"Su-17M3 W3","FAB-250","2","240","0.2"
"Su-17M3 W3","FAB-500","2","240","0.2"
"Su-17M3 W3","Kh-23","2","360","0.2"
"Su-17M3 W3","Kh-25ML","2","360","0.2"
"Su-17M3 W3","Kh-25MP","2","360","0.2"
"Su-17M3 W3","Kh-29L","2","360","0.2"
"Su-17M3 W3","Kh-58","2","360","0.2"
"Su-17M3 W3","Kh-58U","2","720","0.2"
"Su-17M3 W3","PTB 1150","2","300","0.2"
"Su-17M3 W3","PTB-600","2","300","0.2"
"Su-17M3 W3","PTB-800","2","300","0.2"
"Su-17M3 W3","S-24B 240mm","2","240","0.2"
"Su-17M3 W3","S-25C 266mm","2","240","0.2"
"Su-17M3 W3","S-25OF 266mm","2","240","0.2"
"Su-17M3 W3","S-3K 160mm","7","240","0.15"
"Su-17M3 W3","S-5K Rocket","64","240","0.1"
"Su-17M3 W3","S-5M Rocket","64","240","0.1"
"Su-17M3 W3","S-8B 80mm","40","240","0.1"
"Su-17M3 W3","S-8K 80mm","40","240","0.1"
"Su-17M4 Fuselage","FAB-100","12","640","0.2"
"Su-17M4 Fuselage","FAB-250","4","360","0.2"
"Su-17M4 Fuselage","FAB-500","4","360","0.2"
"Su-17M4 Fuselage","KAB-500Kr","2","360","0.2"
"Su-17M4 Fuselage","S-24B 240mm","2","240","0.2"
"Su-17M4 Fuselage","S-5K Rocket","64","240","0.1"
"Su-17M4 Fuselage","S-5M Rocket","64","240","0.1"
"Su-17M4 Fuselage","S-8B 80mm","40","240","0.1"
"Su-17M4 Fuselage","S-8K 80mm","40","240","0.1"
"Su-17M4 W1","FAB-100","4","360","0.2"
"Su-17M4 W1","FAB-250","4","360","0.2"
"Su-17M4 W1","FAB-500","2","240","0.2"
"Su-17M4 W1","KAB-500Kr","2","360","0.2"
"Su-17M4 W1","Kh-23","2","360","0.2"
"Su-17M4 W1","PTB-600","2","300","0.2"
"Su-17M4 W1","PTB-800","2","300","0.2"
"Su-17M4 W1","R-60","2","360","0.2"
"Su-17M4 W1","R-60M","2","360","0.2"
"Su-17M4 W1","R-60MK","2","360","0.2"
"Su-17M4 W1","S-24B 240mm","2","240","0.2"
"Su-17M4 W1","S-25C 266mm","2","240","0.2"
"Su-17M4 W1","S-25OF 266mm","2","240","0.2"
"Su-17M4 W1","S-3K 160mm","7","240","0.15"
"Su-17M4 W1","S-5K Rocket","64","240","0.1"
"Su-17M4 W1","S-5M Rocket","64","240","0.1"
"Su-17M4 W1","S-8B 80mm","40","240","0.1"
"Su-17M4 W1","S-8K 80mm","40","240","0.1"
"Su-17M4 W1","TN-1000","2","720","0.2"
"Su-17M4 W3","FAB-100","4","360","0.2"
"Su-17M4 W3","FAB-250","2","240","0.2"
"Su-17M4 W3","FAB-500","2","240","0.2"
"Su-17M4 W3","KAB-500Kr","2","360","0.2"
"Su-17M4 W3","Kh-23","2","360","0.2"
"Su-17M4 W3","Kh-25ML","2","360","0.2"
"Su-17M4 W3","Kh-25MP","2","360","0.2"
"Su-17M4 W3","Kh-29L","2","360","0.2"
"Su-17M4 W3","Kh-29T","2","360","0.2"
"Su-17M4 W3","Kh-58","2","360","0.2"
"Su-17M4 W3","Kh-58U","2","720","0.2"
"Su-17M4 W3","PTB 1150","2","300","0.2"
"Su-17M4 W3","PTB-600","2","300","0.2"
"Su-17M4 W3","PTB-800","2","300","0.2"
"Su-17M4 W3","S-24B 240mm","2","240","0.2"
"Su-17M4 W3","S-25C 266mm","2","240","0.2"
"Su-17M4 W3","S-25OF 266mm","2","240","0.2"
"Su-17M4 W3","S-3K 160mm","7","240","0.15"
"Su-17M4 W3","S-5K Rocket","64","240","0.1"
"Su-17M4 W3","S-5M Rocket","64","240","0.1"
"Su-17M4 W3","S-8B 80mm","40","240","0.1"
"Su-17M4 W3","S-8K 80mm","40","240","0.1"
"Su-20 W1","FAB-100","4","360","0.2"
"Su-20 W1","FAB-250","2","240","0.2"
"Su-20 W1","FAB-500","2","240","0.2"
"Su-20 W1","PTB-600","2","300","0.2"
"Su-20 W1","PTB-800","2","300","0.2"
"Su-20 W1","R-3S","2","360","0.2"
"Su-20 W1","S-24B 240mm","2","240","0.2"
"Su-20 W1","S-25C 266mm","2","240","0.2"
"Su-20 W1","S-25OF 266mm","2","240","0.2"
"Su-20 W1","S-3K 160mm","7","240","0.15"
"Su-20 W1","S-5K Rocket","64","240","0.1"
"Su-20 W1","S-5M Rocket","64","240","0.1"
"Su-20 W1","S-8B 80mm","40","240","0.1"
"Su-20 W1","S-8K 80mm","40","240","0.1"
"Su-20 W2","FAB-100","4","360","0.2"
"Su-20 W2","FAB-250","2","240","0.2"
"Su-20 W2","FAB-500","2","240","0.2"
"Su-20 W2","PTB-600","2","300","0.2"
"Su-20 W2","PTB-800","2","300","0.2"
"Su-20 W2","S-24B 240mm","2","240","0.2"
"Su-20 W2","S-25C 266mm","2","240","0.2"
"Su-20 W2","S-25OF 266mm","2","240","0.2"
"Su-20 W2","S-3K 160mm","7","240","0.15"
"Su-20 W2","S-5K Rocket","64","240","0.1"
"Su-20 W2","S-5M Rocket","64","240","0.1"
"Su-20 W2","S-8B 80mm","40","240","0.1"
"Su-20 W2","S-8K 80mm","40","240","0.1"
"Su-22 W1","FAB-100","4","360","0.2"
"Su-22 W1","FAB-250","2","240","0.2"
"Su-22 W1","FAB-500","2","240","0.2"
"Su-22 W1","PTB-600","2","300","0.2"
"Su-22 W1","PTB-800","2","300","0.2"
"Su-22 W1","R-3S","2","360","0.2"
"Su-22 W1","R-60","2","360","0.2"
"Su-22 W1","S-24B 240mm","2","240","0.2"
"Su-22 W1","S-25C 266mm","2","240","0.2"
"Su-22 W1","S-25OF 266mm","2","240","0.2"
"Su-22 W1","S-3K 160mm","7","240","0.15"
"Su-22 W1","S-5K Rocket","64","240","0.1"
"Su-22 W1","S-5M Rocket","64","240","0.1"
"Su-22 W1","S-8B 80mm","40","240","0.1"
"Su-22 W1","S-8K 80mm","40","240","0.1"
"Su-22 W2","FAB-100","4","360","0.2"
"Su-22 W2","FAB-250","2","240","0.2"
"Su-22 W2","FAB-500","2","240","0.2"
"Su-22 W2","Kh-25MP","2","360","0.2"
"Su-22 W2","Kh-29L","2","360","0.2"
"Su-22 W2","PTB-600","2","300","0.2"
"Su-22 W2","PTB-800","2","300","0.2"
"Su-22 W2","S-24B 240mm","2","240","0.2"
"Su-22 W2","S-25C 266mm","2","240","0.2"
"Su-22 W2","S-25OF 266mm","2","240","0.2"
"Su-22 W2","S-3K 160mm","7","240","0.15"
"Su-22 W2","S-5K Rocket","64","240","0.1"
"Su-22 W2","S-5M Rocket","64","240","0.1"
"Su-22 W2","S-8B 80mm","40","240","0.1"
"Su-22 W2","S-8K 80mm","40","240","0.1"
"Su-22M5 Fuselage","FAB-100","12","640","0.2"
"Su-22M5 Fuselage","FAB-250","4","360","0.2"
"Su-22M5 Fuselage","FAB-500","4","360","0.2"
"Su-22M5 Fuselage","KAB-500Kr","2","360","0.2"
"Su-22M5 Fuselage","R-77","2","360","0.2"
"Su-22M5 Fuselage","S-24B 240mm","2","240","0.2"
"Su-22M5 Fuselage","S-5K Rocket","64","240","0.1"
"Su-22M5 Fuselage","S-5M Rocket","64","240","0.1"
"Su-22M5 Fuselage","S-8B 80mm","40","240","0.1"
"Su-22M5 Fuselage","S-8K 80mm","40","240","0.1"
"Su-22M5 W1","FAB-100","4","360","0.2"
"Su-22M5 W1","FAB-250","4","360","0.2"
"Su-22M5 W1","FAB-500","2","240","0.2"
"Su-22M5 W1","KAB-500Kr","2","360","0.2"
"Su-22M5 W1","Kh-23","2","360","0.2"
"Su-22M5 W1","PTB-600","2","300","0.2"
"Su-22M5 W1","PTB-800","2","300","0.2"
"Su-22M5 W1","R-27R","2","360","0.2"
"Su-22M5 W1","R-27T","2","360","0.2"
"Su-22M5 W1","R-60","2","360","0.2"
"Su-22M5 W1","R-60M","2","360","0.2"
"Su-22M5 W1","R-60MK","2","360","0.2"
"Su-22M5 W1","R-73","2","360","0.2"
"Su-22M5 W1","R-77","2","360","0.2"
"Su-22M5 W1","S-24B 240mm","2","240","0.2"
"Su-22M5 W1","S-25C 266mm","2","240","0.2"
"Su-22M5 W1","S-25OF 266mm","2","240","0.2"
"Su-22M5 W1","S-3K 160mm","7","240","0.15"
"Su-22M5 W1","S-5K Rocket","64","240","0.1"
"Su-22M5 W1","S-5M Rocket","64","240","0.1"
"Su-22M5 W1","S-8B 80mm","40","240","0.1"
"Su-22M5 W1","S-8K 80mm","40","240","0.1"
"Su-22M5 W1","TN-1000","2","720","0.2"
"Su-22M5 W2","R-60","2","360","0.2"
"Su-22M5 W2","R-60M","2","360","0.2"
"Su-22M5 W2","R-60MK","2","360","0.2"
"Su-22M5 W2","R-73","2","360","0.2"
"Su-22M5 W3","FAB-100","4","360","0.2"
"Su-22M5 W3","FAB-250","2","240","0.2"
"Su-22M5 W3","FAB-500","2","240","0.2"
"Su-22M5 W3","KAB-500Kr","2","360","0.2"
"Su-22M5 W3","Kh-23","2","360","0.2"
"Su-22M5 W3","Kh-25ML","2","360","0.2"
"Su-22M5 W3","Kh-25MP","2","360","0.2"
"Su-22M5 W3","Kh-29L","2","360","0.2"
"Su-22M5 W3","Kh-29T","2","360","0.2"
"Su-22M5 W3","Kh-58","2","360","0.2"
"Su-22M5 W3","Kh-58U","2","720","0.2"
"Su-22M5 W3","PTB 1150","2","300","0.2"
"Su-22M5 W3","PTB-600","2","300","0.2"
"Su-22M5 W3","PTB-800","2","300","0.2"
"Su-22M5 W3","R-27R","2","360","0.2"
"Su-22M5 W3","R-27T","2","360","0.2"
"Su-22M5 W3","R-73","2","360","0.2"
"Su-22M5 W3","R-77","2","360","0.2"
"Su-22M5 W3","S-24B 240mm","2","240","0.2"
"Su-22M5 W3","S-25C 266mm","2","240","0.2"
"Su-22M5 W3","S-25OF 266mm","2","240","0.2"
"Su-22M5 W3","S-3K 160mm","7","240","0.15"
"Su-22M5 W3","S-5K Rocket","64","240","0.1"
"Su-22M5 W3","S-5M Rocket","64","240","0.1"
"Su-22M5 W3","S-8B 80mm","40","240","0.1"
"Su-22M5 W3","S-8K 80mm","40","240","0.1"
"Su-24 W1","FAB-500","2","30","1"
"Su-24 W1","KAB-500L","2","30","1"
"Su-24 W1","R-60","2","30","1"
"Su-24 W2","3000 liter tank","2","30","1"
"Su-24 W2","FAB-500","2","30","1"
"Su-24 W2","KAB-500L","2","30","1"
"Su-24 W2","Kh-59MK","2","30","1"
"Su-24 W3","FAB-500","2","30","1"
"Su-24 W3","KAB-500L","2","30","1"
"Su-24 W3","Kh-29T","2","30","1"
"Su-24 W3","TN-1000","1","30","1"
"Su-24 W4","FAB-500","2","30","1"
"Su-24 W4","KAB-500L","2","30","1"
"Su-24 W4","Kh-29T","2","30","1"
"Su-24 W4","TN-1000","1","30","1"
"Su-25 W1","R-60","2","30","1"
"Su-25 W2","FAB-250","8","30","1"
"Su-25 W2","FAB-500","4","30","1"
"Su-25 W2","KAB-500L","4","30","1"
"Su-25 W3","600 liter tank","2","30","1"
"Su-25 W3","FAB-500","2","30","1"
"Su-25 W3","KAB-500L","2","30","1"
"Su-25 W4","600 liter tank","2","30","1"
"Su-25 W4","FAB-250","4","30","1"
"Su-25 W4","FAB-500","2","30","1"
"Su-25 W4","KAB-500L","2","30","1"
"Su-27 F","Kh-29T","4","30","1"
"Su-27 F","Kh-31P","3","30","1"
"Su-27 F","R-27R","4","30","1"
"Su-27 F","R-73M","4","30","1"
"Su-27 W1","R-27R","2","30","1"
"Su-27 W1","R-73M","2","30","1"
"Su-27 W1","R-77","2","30","1"
"Su-27 W2","Kh-29T","4","30","1"
"Su-27 W2","Kh-31P","4","30","1"
"Su-27 W2","R-27R","4","30","1"
"Su-27 W2","R-73M","4","30","1"
"Su-30 F","Kh-29T","4","30","1"
"Su-30 F","Kh-31P","3","30","1"
"Su-30 F","R-27R","4","30","1"
"Su-30 F","R-73M","4","30","1"
"Su-30 W1","PL-11 AMR","2","30","1"
"Su-30 W1","PL-11","2","30","1"
"Su-30 W1","PL-11A","2","30","1"
"Su-30 W1","PL-12","2","30","1"
"Su-30 W1","PL-13","2","30","1"
"Su-30 W1","R-27R","2","30","1"
"Su-30 W1","R-73M","2","30","1"
"Su-30 W1","R-77","2","30","1"
"Su-30 W2","Kh-29T","4","30","1"
"Su-30 W2","Kh-31P","4","30","1"
"Su-30 W2","PL-11 AMR","4","30","1"
"Su-30 W2","PL-11","4","30","1"
"Su-30 W2","PL-11A","4","30","1"
"Su-30 W2","PL-12","4","30","1"
"Su-30 W2","PL-13","4","30","1"
"Su-30 W2","R-27R","4","30","1"
"Su-30 W2","R-73M","4","30","1"
"Su-30 W2","R-77","4","30","1"
"Su-30MK2 01-02","R-27R","2","600","2"
"Su-30MK2 01-02","R-77","2","600","2"
"Su-30MK2 01-02","R-77T","2","600","2"
"Su-30MK2 03-04","KAB-500Kr","2","1200","2"
"Su-30MK2 03-04","R-27R","2","600","2"
"Su-30MK2 03-04","R-77","2","600","2"
"Su-30MK2 03-04","R-77T","2","600","2"
"Su-30MK2 03-04","X-29TE","2","1200","2"
"Su-30MK2 03-04","X-31A","2","1200","2"
"Su-30MK2 03-04","X-31P","2","1200","2"
"Su-30MK2 05-06","KAB-500Kr","2","1200","2"
"Su-30MK2 05-06","R-27R","2","600","2"
"Su-30MK2 05-06","R-77","2","600","2"
"Su-30MK2 05-06","R-77T","2","600","2"
"Su-30MK2 05-06","X-29TE","2","1200","2"
"Su-30MK2 05-06","X-31A","2","1200","2"
"Su-30MK2 05-06","X-31P","2","1200","2"
"Su-30MK2 07-08","KAB-500Kr","2","1200","2"
"Su-30MK2 07-08","R-27R","2","600","2"
"Su-30MK2 07-08","R-73E","2","600","2"
"Su-30MK2 07-08","R-77","2","600","2"
"Su-30MK2 07-08","R-77T","2","600","2"
"Su-30MK2 07-08","X-29TE","2","1200","2"
"Su-30MK2 07-08","X-31A","2","1200","2"
"Su-30MK2 07-08","X-31P","2","1200","2"
"Su-30MK2 09-10","R-73E","2","600","2"
"Su-34 Fuselage","3M54E Klub Alfa","1","30","1"
"Su-34 Fuselage","3M80 Moskit","1","30","1"
"Su-34 Fuselage","KAB-1500Kr","1","30","1"
"Su-34 Fuselage","KAB-1500L","1","30","1"
"Su-34 Fuselage","Kh-31P","2","30","1"
"Su-34 Wing 2","R-27*","2","30","1"
"Su-34 Wing 2","R-73*","2","30","1"
"Su-34 Wing 2","R-77*","2","30","1"
"Su-34 Wing1","3M54E Klub Alfa","2","30","1"
"Su-34 Wing1","KAB-1500Kr","2","30","1"
"Su-34 Wing1","KAB-1500L","2","30","1"
"Su-34 Wing1","KAB-500Kr","4","30","1"
"Su-34 Wing1","KAB-500L","4","30","1"
"Su-34 Wing1","KAB-500R","4","30","1"
"Su-34 Wing1","Kh-31P","4","30","1"
"Su-34 Wing1","Kh-59M","2","30","1"
"Su-34 Wing1","Kh-59MK","2","30","1"
"Su-34 Wing1","R-27*","4","30","1"
"Su-34 Wing1","R-73*","4","30","1"
"Su-34 Wing1","R-77*","4","30","1"
"Sub P-120 Launcher x8","P-120 Malakhit","8","30","5"
"Super Etendard Centerline","1100 Liter Tank","1","600","0.2"
"Super Etendard Centerline","625 liter tank","1","600","0.2"
"Super Etendard Centerline","AM-39 Exocet","1","600","0.2"
"Super Etendard Centerline","AS-30L","1","600","0.2"
"Super Etendard Centerline","Durandal","2","600","0.2"
"Super Etendard Centerline","Mk-82","2","600","0.2"
"Super Etendard Centerline","Mk-83","1","600","0.2"
"Super Etendard Outer Pylon","AIM-9*","2","600","0.2"
"Super Etendard Outer Pylon","ASRAAM","2","600","0.2"
"Super Etendard Outer Pylon","GBU-12/B","2","600","0.2"
"Super Etendard Outer Pylon","Mk-82","2","600","0.2"
"Super Etendard Outer Pylon","Mk-83","2","600","0.2"
"Super Etendard Outer Pylon","R.550 Magic","2","600","0.2"
"Super Etendard inner Pylon","1100 Liter Tank","1","600","0.2"
"Super Etendard inner Pylon","625 liter tank","1","600","0.2"
"Super Etendard inner Pylon","AIM-9*","1","600","0.2"
"Super Etendard inner Pylon","AM-39 Exocet","1","600","0.2"
"Super Etendard inner Pylon","AS-30L","1","600","0.2"
"Super Etendard inner Pylon","ASRAAM","1","600","0.2"
"Super Etendard inner Pylon","Durandal","2","600","0.2"
"Super Etendard inner Pylon","Mk-82","2","600","0.2"
"Super Etendard inner Pylon","Mk-83","1","600","0.2"
"Super Etendard inner Pylon","R.550 Magic","1","600","0.2"
"Sylver A43 VLS","ASTER 15","1","0","0.15"
"Sylver A50 VLS","ASTER 15","1","0","0.15"
"Sylver A50 VLS","ASTER 30","1","0","0.15"
"Sylver A70 VLS","ASTER 15","1","0","0.15"
"Sylver A70 VLS","ASTER 30","1","0","0.15"
"Sylver A70 VLS","SCALP EG","1","0","0.15"
"TERMA Pod","Flare-1","80","160","0.2"
"TP-1","AEG-SUT","1","600","1"
"TS-1","AEG-SUT","1","600","1"
"Test Gun II","Shell-2","100","30","4"
"Test Gun","Shell-1","100","30","4"
"Test Torpedo Tube","MK-T1","1","30","1"
"Tien Kung Launcher","Tien Kung-II SAM","8","30","15"
"Tornado F.Mk.2 1-6","330 gallon wing tank","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-132 ASRAAM","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-9B","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-9D","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-9G","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-9H","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-9L","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-9M","2","30","0.2"
"Tornado F.Mk.2 2-5","AIM-9X","2","30","0.2"
"Tornado F.Mk.2 3","AIM-120C","2","30","0.2"
"Tornado F.Mk.2 3","AIM-7E","2","30","0.2"
"Tornado F.Mk.2 3","AIM-7F","2","30","0.2"
"Tornado F.Mk.2 3","AIM-7M","2","30","0.2"
"Tornado F.Mk.2 3","AIM-7P","2","30","0.2"
"Tornado F.Mk.2 3","ASPIDE-1A","2","30","0.2"
"Tornado F.Mk.2 3","Skyflash","2","30","0.2"
"Tornado F.Mk.2 4","AIM-120C","2","30","0.2"
"Tornado F.Mk.2 4","AIM-7E","2","30","0.2"
"Tornado F.Mk.2 4","AIM-7F","2","30","0.2"
"Tornado F.Mk.2 4","AIM-7M","2","30","0.2"
"Tornado F.Mk.2 4","AIM-7P","2","30","0.2"
"Tornado F.Mk.2 4","ASPIDE-1A","2","30","0.2"
"Tornado F.Mk.2 4","Skyflash","2","30","0.2"
"Tornado F.Mk.3 2-5","AIM-132 ASRAAM","4","30","0.2"
"Tornado F.Mk.3 2-5","AIM-9B","4","30","0.2"
"Tornado F.Mk.3 2-5","AIM-9D","4","30","0.2"
"Tornado F.Mk.3 2-5","AIM-9G","4","30","0.2"
"Tornado F.Mk.3 2-5","AIM-9H","4","30","0.2"
"Tornado F.Mk.3 2-5","AIM-9L","4","30","0.2"
"Tornado F.Mk.3 2-5","AIM-9M","4","30","0.2"
"Tornado F.Mk.3 2-5","AIM-9X","4","30","0.2"
"Tornado GR.Mk.1 1-8","330 gallon wing tank","2","30","0.2"
"Tornado GR.Mk.1 2-7","AGM-65D","2","30","1"
"Tornado GR.Mk.1 2-7","AGM-88*","2","30","1"
"Tornado GR.Mk.1 2-7","ALARM","2","30","1"
"Tornado GR.Mk.1 2-7","B-61*","2","30","0.2"
"Tornado GR.Mk.1 2-7","Brimstone","6","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-10/B","2","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-12/B","6","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-16/B","4","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-24/B","2","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-24B/B","2","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-27","2","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-28B/B","6","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-31A(v)2","2","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-31C(v)4","2","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-32A(v)2","2","30","0.2"
"Tornado GR.Mk.1 2-7","GBU-32C(v)4","2","30","0.2"
"Tornado GR.Mk.1 2-7","Mk-81","6","30","0.2"
"Tornado GR.Mk.1 2-7","Mk-82","6","30","0.2"
"Tornado GR.Mk.1 2-7","Mk-83","4","30","0.2"
"Tornado GR.Mk.1 2-7","Mk-84","2","30","0.2"
"Tornado GR.Mk.1 3-6","594 gallon wing tank","2","30","0.2"
"Tornado GR.Mk.1 3-6","AGM-65D","2","30","1"
"Tornado GR.Mk.1 3-6","AGM-8*","2","30","1"
"Tornado GR.Mk.1 3-6","ALARM","2","30","1"
"Tornado GR.Mk.1 3-6","B-61*","2","30","0.2"
"Tornado GR.Mk.1 3-6","Brimstone","6","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-10/B","2","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-12/B","6","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-16/B","4","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-24/B","2","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-24B/B","2","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-27","2","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-28B/B","6","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-31A(v)2","2","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-31C(v)4","2","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-32A(v)2","2","30","0.2"
"Tornado GR.Mk.1 3-6","GBU-32C(v)4","2","30","0.2"
"Tornado GR.Mk.1 3-6","Mk-81","6","30","0.2"
"Tornado GR.Mk.1 3-6","Mk-82","6","30","0.2"
"Tornado GR.Mk.1 3-6","Mk-83","4","30","0.2"
"Tornado GR.Mk.1 3-6","Mk-84","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-132 ASRAAM","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-9B","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-9D","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-9G","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-9H","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-9L","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-9M","2","30","0.2"
"Tornado GR.Mk.1 3-6b","AIM-9X","2","30","0.2"
"Tornado GR.Mk.1 3-6b","ASRAAM","2","30","0.2"
"Tornado GR.Mk.1 3-6b","Brimstone","6","30","0.2"
"Tornado GR.Mk.1 4","AIM-120*","2","30","0.2"
"Tornado GR.Mk.1 4","AIM-120C","2","30","0.2"
"Tornado GR.Mk.1 4","AIM-7E","2","30","0.2"
"Tornado GR.Mk.1 4","AIM-7F","2","30","0.2"
"Tornado GR.Mk.1 4","AIM-7M","2","30","0.2"
"Tornado GR.Mk.1 4","AIM-7P","2","30","0.2"
"Tornado GR.Mk.1 4","ASPIDE-1A","2","30","0.2"
"Tornado GR.Mk.1 4","Brimstone","6","30","0.2"
"Tornado GR.Mk.1 4","Skyflash","2","30","0.2"
"Tornado GR.Mk.1 5","AIM-120*","2","30","0.2"
